"@timestamp",pkttype,"header.manufacturerId"
"Jan 20, 2025 @ 14:20:10.562",vehicleBusStatus,0071009C36
"Jan 20, 2025 @ 14:15:16.216",vehicleBusStatus,0071008728
"Jan 20, 2025 @ 14:11:32.760",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 14:11:27.869",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 14:05:38.242",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 14:05:33.457",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 13:56:53.102",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 13:56:48.192",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 13:43:14.401",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 13:29:55.258",vehicleBusStatus,0071009189
"Jan 20, 2025 @ 13:27:20.860",vehicleBusStatus,00710086CF
"Jan 20, 2025 @ 13:18:44.201",vehicleBusStatus,0071009189
"Jan 20, 2025 @ 13:13:21.764",vehicleBusStatus,0071008E91
"Jan 20, 2025 @ 13:13:16.896",vehicleBusStatus,0071008E91
"Jan 20, 2025 @ 12:41:18.270",vehicleBusStatus,0071008801
"Jan 20, 2025 @ 12:32:30.114",vehicleBusStatus,007100895F
"Jan 20, 2025 @ 12:30:38.783",vehicleBusStatus,0071009D62
"Jan 20, 2025 @ 12:27:32.879",vehicleBusStatus,007100895F
"Jan 20, 2025 @ 12:05:15.887",vehicleBusStatus,0071008E91
"Jan 20, 2025 @ 12:05:10.688",vehicleBusStatus,0071008E91
"Jan 20, 2025 @ 12:03:37.145",vehicleBusStatus,0071009D62
"Jan 20, 2025 @ 12:03:32.544",vehicleBusStatus,0071009D62
"Jan 20, 2025 @ 11:56:20.704",vehicleBusStatus,0071009947
"Jan 20, 2025 @ 11:45:44.539",vehicleBusStatus,0071008497
"Jan 20, 2025 @ 11:45:39.122",vehicleBusStatus,0071008497
"Jan 20, 2025 @ 11:40:51.095",vehicleBusStatus,0071008497
"Jan 20, 2025 @ 11:40:46.421",vehicleBusStatus,0071008497
"Jan 20, 2025 @ 11:40:13.837",vehicleBusStatus,0071008497
"Jan 20, 2025 @ 11:40:09.223",vehicleBusStatus,0071008497
"Jan 20, 2025 @ 11:38:13.877",vehicleBusStatus,0071008497
"Jan 20, 2025 @ 11:38:09.327",vehicleBusStatus,0071008497
"Jan 20, 2025 @ 11:37:35.695",vehicleBusStatus,0071008E4C
"Jan 20, 2025 @ 11:34:39.802",vehicleBusStatus,0071008801
"Jan 20, 2025 @ 11:32:24.607",vehicleBusStatus,0071008E91
"Jan 20, 2025 @ 11:26:49.561",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 11:18:47.026",vehicleBusStatus,0071008512
"Jan 20, 2025 @ 11:08:52.829",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 11:08:47.702",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 11:02:15.486",vehicleBusStatus,0071008860
"Jan 20, 2025 @ 10:56:04.291",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 10:55:58.955",vehicleBusStatus,007100877F
"Jan 20, 2025 @ 10:54:45.320",vehicleBusStatus,0071009C60
"Jan 20, 2025 @ 10:54:40.127",vehicleBusStatus,0071009C60
"Jan 20, 2025 @ 10:52:35.871",vehicleBusStatus,0071008512
"Jan 20, 2025 @ 10:40:58.350",vehicleBusStatus,0071008497
