"@timestamp",pkttype,"header.manufacturerId"
"Jan 15, 2025 @ 20:33:39.486",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 20:26:06.384",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 20:26:01.254",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 20:15:52.684",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 20:15:47.836",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 20:11:35.771",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 20:11:29.987",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:56:26.278",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:56:21.226",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:54:30.344",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:54:20.100",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:52:06.835",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:52:01.044",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:50:21.815",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:50:16.387",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:50:08.541",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:50:03.745",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:43:38.475",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:43:33.230",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:42:27.199",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:42:21.844",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:38:19.624",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:38:14.364",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:36:51.145",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:36:45.997",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:34:51.457",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:34:46.256",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:33:52.832",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:33:52.784",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:29:53.904",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:29:49.366",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:23:51.711",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:23:46.395",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:21:53.756",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:21:48.671",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:21:44.390",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:21:39.572",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:19:33.293",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:19:28.098",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:17:33.628",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:17:26.087",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:12:58.107",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:12:52.797",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:12:47.444",vehicleBusStatus,007100877F
"Jan 15, 2025 @ 19:12:42.175",vehicleBusStatus,007100877F
"Jan 15, 2025 @ 19:10:57.998",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:10:53.293",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:10:46.330",vehicleBusStatus,007100877F
"Jan 15, 2025 @ 19:10:41.382",vehicleBusStatus,007100877F
"Jan 15, 2025 @ 19:08:54.617",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:08:49.846",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:06:22.809",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:06:17.712",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:04:26.403",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 19:04:21.293",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:57:32.598",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:57:27.903",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:55:53.507",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:55:48.760",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:53:52.566",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:53:47.545",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:53:29.532",vehicleBusStatus,007100877F
"Jan 15, 2025 @ 18:53:24.562",vehicleBusStatus,007100877F
"Jan 15, 2025 @ 18:51:59.304",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:51:54.412",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:51:41.578",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:51:37.090",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:49:23.650",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:49:18.612",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:46:38.449",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:46:33.622",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:45:01.787",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:44:56.420",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:42:02.339",vehicleBusStatus,0071009189
"Jan 15, 2025 @ 18:36:09.565",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:35:59.325",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:29:53.023",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:29:47.898",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:27:39.671",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:27:34.746",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:26:48.922",vehicleBusStatus,007100877F
"Jan 15, 2025 @ 18:26:43.693",vehicleBusStatus,007100877F
"Jan 15, 2025 @ 18:25:43.116",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:25:38.228",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:20:42.214",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:20:32.027",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:19:23.057",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:19:17.942",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:13:51.609",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:13:46.653",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:07:53.378",vehicleBusStatus,007100877F
"Jan 15, 2025 @ 18:07:48.813",vehicleBusStatus,007100877F
"Jan 15, 2025 @ 18:00:26.437",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 18:00:25.050",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 17:51:03.774",vehicleBusStatus,0071008A20
"Jan 15, 2025 @ 17:50:58.611",vehicleBusStatus,0071008A20
